date,vix,price,shares,avg_cost,market_value,total_cost,unrealized_pnl,daily_pnl,return_pct,total_return_pct,cash,net_value,note
2026-03-31,30.61,1.887,5298,1.8872,9997.33,9998.33,-1.0,-1.0,-0.01,-0.01,1.67,9999.0,V2.1定投；VIX数据日2026-03-30
2026-04-14,19.12,2.064,7720,1.9427,15934.08,14997.83,936.25,937.25,6.24,6.24,2.17,15936.25,V2.1定投；VIX数据日2026-04-13
2026-04-28,18.02,2.197,9995,2.0007,21959.02,19996.51,1962.51,1026.26,9.81,9.81,3.49,21962.51,V2.1定投；VIX数据日2026-04-27
2026-05-12,18.38,2.348,12124,2.0617,28467.15,24995.9,3471.25,1508.75,13.89,13.89,4.1,28471.25,V2.1定投；VIX数据日2026-05-11
2026-05-26,16.59,2.442,14171,2.1167,34605.58,29995.18,4610.41,1139.16,15.37,15.37,4.83,34610.41,V2.1定投；VIX数据日2026-05-25
2026-06-09,18.92,2.456,16206,2.1593,39801.94,34993.64,4808.3,197.89,13.74,13.74,6.37,39808.3,V2.1定投；VIX数据日2026-06-08
2026-06-23,17.28,2.454,18243,2.1922,44768.32,39992.93,4775.39,-32.91,11.94,11.94,7.07,44775.39,V2.1定投；VIX数据日2026-06-22
2026-07-07,15.57,2.438,20293,2.2171,49474.33,44991.33,4483.0,-292.39,9.96,9.96,8.67,49483.0,V2.1定投；VIX数据日2026-07-06
2026-07-21,18.65,2.396,22379,2.2338,53620.08,49989.89,3630.2,-852.81,7.26,7.26,10.11,53630.2,V2.1定投；VIX数据日2026-07-20
2026-08-04,15.86,2.444,24424,2.2514,59692.26,54988.37,4703.89,1073.69,8.55,8.55,11.63,59703.89,V2.1定投；VIX数据日2026-08-03
2026-08-18,15.19,2.51,26415,2.2709,66301.65,59986.28,6315.37,1611.48,10.53,10.53,13.72,66315.37,V2.1定投；VIX数据日2026-08-17
2026-09-01,14.92,2.487,28023,2.2833,69693.2,63985.78,5707.43,-607.95,8.92,8.92,14.23,69707.43,V2.1定投；VIX数据日2026-08-31
