date,vix,price,shares,position_value,cash,net_value,total_cost,unrealized_pnl,daily_pnl,return_pct,note
2026-03-24,21.0,1.947,1540,2998.38,97001.32,2998.38,2998.68,-0.3,-0.3,-0.01,VIX21.0_BUY
2026-04-07,19.5,1.952,2308,4505.22,95502.03,4505.22,4497.97,7.25,7.55,0.16,VIX19.5_BUY
2026-04-21,19.5,2.133,3222,6872.53,93552.28,6872.53,6447.72,424.8,417.55,6.59,VIX19.5_BUY
2026-05-19,18.15,2.306,4067,9378.5,91603.51,9378.5,8396.49,982.01,557.21,11.7,VIX18.15_BUY
2026-05-28,16.72,2.468,4067,10037.36,91603.51,10037.36,8396.49,1640.87,658.86,19.54,VIX16.72_HOLD
2026-05-29,15.84,2.54,4067,10330.18,91603.51,10330.18,8396.49,1933.69,292.82,23.03,VIX15.84_HOLD
2026-06-01,15.82,2.54,4067,10330.18,91603.51,10330.18,8396.49,1933.69,0.0,23.03,VIX15.82_HOLD
2026-06-02,16.12,2.602,4566,11880.73,91603.51,11880.73,9695.02,2185.71,252.02,22.54,VIX16.12_BUY
2026-06-03,16.04,2.563,4566,11702.66,91603.51,11702.66,9695.02,2007.64,-178.07,20.71,"VIX16.04,持仓不动"
2026-06-04,16.6,2.499,4566,11410.43,91603.51,11410.43,9695.02,1715.41,-292.23,17.69,"VIX16.6,持仓不动"
2026-06-05,15.64,2.463,4566,11246.06,91603.51,11246.06,9695.02,1551.04,-164.37,16.0,"VIX15.64,持仓不动"
2026-06-08,18.91,2.367,4566,10807.72,91603.51,10807.72,9695.02,1112.7,-438.34,11.48,"VIX18.91,持仓不动"
2026-06-09,18.06,2.456,4566,11214.1,91603.51,11214.1,9695.02,1519.08,406.37,15.67,"VIX18.06,持仓不动"
2026-06-10,21.06,2.389,4566,10908.17,91603.51,10908.17,9695.02,1213.16,-305.92,12.51,"VIX21.06,持仓不动"
2026-06-11,20.89,2.367,4566,10807.72,91603.51,10807.72,9695.02,1112.7,-100.45,11.48,"VIX20.89,持仓不动"
2026-06-12,19.09,2.405,4566,10981.23,91603.51,10981.23,9695.02,1286.21,173.51,13.27,"VIX19.09,持仓不动"
2026-06-15,16.3,2.508,4566,11451.53,91603.51,11451.53,9695.02,1756.51,470.3,18.12,"VIX16.3,持仓不动"
