date,vix,vix_zone,action,amount,shares,price,fee,total_cost,cash_before,cash_after,net_value,label
2026-03-24,21.0,20-25,BUY,3000,1540,1.947,0.3,3000,100000,97001.32,2998.38,正常定投(历史不足不修正)
2026-04-07,19.5,18-20,BUY,1500,768,1.952,0.15,1500,97001.32,95502.03,4505.22,偏低定投(历史不足不修正)
2026-04-21,19.5,18-20,BUY,1950,914,2.133,0.195,1950,95502.03,93552.28,6872.53,偏低定投(趋势修正×1.3)
2026-05-19,18.15,18-20,BUY,1950,845,2.306,0.195,1950,93552.28,91603.51,9378.5,偏低定投(趋势修正×1.3)
2026-06-02,15.82,15-18,BUY,1300,499,2.602,0.13,1300,92903.51,91603.51,11880.732,小额定投(趋势修正×1.3)
2026-06-16,16.3,15-18,BUY,1300,511,2.543,0.13,1300,92903.51,91603.51,12910.81,小额定投(趋势修正×1.3)
2026-06-30,18.33,18-20,BUY,700,282,2.481,0.07,700,92303.51,91603.51,13295.68,偏低定投(趋势修正×0.7)
2026-07-14,17.16,15-18,BUY,1000,410,2.436,0.1,1000,92603.51,91603.51,14053.284,小额定投(趋势修正×1.0)
2026-07-28,17.6,15-18,BUY,1050,454,2.309,0.105,1050,92653.51,91603.51,14368.91,偏低定投(趋势修正×0.7)
2026-08-11,15.47,15-18,BUY,1300,523,2.484,0.13,1300,92903.51,91603.51,16757.06,小额定投(趋势修正×1.3)
2026-08-25,15.95,15-18,BUY,1300,527,2.465,0.13,1300,92903.51,91603.51,17927.94,小额定投(趋势修正×1.3)
